iter	Passed	Remaining
0	1	175
1	3	166
2	4	156
3	5	137
4	6	130
5	8	125
6	9	120
7	10	116
8	11	113
9	12	111
10	13	109
11	14	107
12	15	105
13	16	102
14	17	98
15	18	94
16	18	92
17	19	90
18	20	87
19	21	85
20	21	82
21	22	80
22	23	78
23	24	77
24	25	75
25	26	74
26	26	72
27	27	70
28	28	70
29	30	70
30	30	68
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	62
37	37	60
38	38	59
39	38	58
40	39	56
41	39	54
42	40	53
43	41	52
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	45
51	47	44
52	48	42
53	49	41
54	49	40
55	49	39
56	50	38
57	51	37
58	51	35
59	52	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	24
70	58	23
71	59	23
72	59	22
73	60	21
74	61	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	65	13
83	66	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	73	2
97	74	1
98	74	0
99	75	0
